Irms,Irms_voltage,P,Q,Ipeak,CF,max_di_dt
0.149,0.044957,6.3,31.32,0.637,4.265,8006.6
0.133,0.039949,5.45,27.98,0.321,2.42,4119.6
0.12,0.035978,2.94,24.71,0.336,2.811,2790.7
0.135,0.040686,3.49,27.88,0.303,2.24,3023.3
0.145,0.0436,4.08,30.63,0.397,2.742,5647.8
0.142,0.042669,4.4,29.87,0.468,3.304,3853.8
0.126,0.037824,2.73,26.05,0.367,2.921,2990
0.145,0.043499,8.25,29.85,0.598,4.136,5847.2
0.14,0.042077,3.74,29.68,0.369,2.639,3289
0.144,0.043479,4,29.4,0.509,3.522,5348.8
0.126,0.038043,1.46,27.1,0.344,2.725,3189.4
0.144,0.043273,6.75,29.34,0.806,5.604,10996.7
0.134,0.040425,3.1,27.96,0.355,2.644,2890.4
0.139,0.041848,4.12,28.92,0.348,2.504,3488.4
0.139,0.04179,6.35,29.45,0.473,3.41,4817.3
0.141,0.042581,6.55,29.54,0.497,3.513,3554.8
0.135,0.040558,5.17,28,0.779,5.78,8505
0.145,0.04354,2.83,31.34,0.645,4.461,4418.6
0.142,0.042846,11.48,28.52,0.78,5.48,7010
0.121,0.03656,9.96,24.2,0.469,3.862,5581.4
0.143,0.043127,0.21,30.22,0.448,3.125,5515
0.135,0.040752,4.75,28.38,1.037,7.66,10332.2
0.14,0.042014,9.04,28.45,0.483,3.462,4053.2
0.128,0.038555,1.67,26.73,0.349,2.724,3122.9
0.124,0.037316,4.49,25.84,0.454,3.666,4418.6
0.135,0.04066,2.61,27.91,0.322,2.384,3521.6
0.134,0.040394,1.1,29.54,0.367,2.738,3720.9
0.131,0.039535,5.9,26.76,0.344,2.616,4418.6
0.145,0.043653,11.1,29.58,0.745,5.139,8372.1
0.142,0.042701,11.46,27.95,0.337,2.378,3122.9
0.144,0.043466,8.6,29.81,0.349,2.415,3156.1
0.134,0.040248,5.07,28.54,0.349,2.607,3421.9
0.134,0.040388,3.4,28.48,0.375,2.796,4717.6
0.141,0.04254,9.62,29.02,0.447,3.166,2757.5
0.136,0.040978,8.11,28.1,0.446,3.279,3554.8
0.131,0.039355,5.46,26.84,0.413,3.158,4817.3
0.141,0.042363,7.8,28.55,0.371,2.633,4584.7
0.134,0.040274,6.67,27.39,0.799,5.974,6445.2
0.146,0.043906,11.13,29.18,0.498,3.413,2757.5
0.128,0.038546,9.33,25.72,0.356,2.78,4019.9
0.142,0.04261,4.07,29.1,0.593,4.188,6146.2
0.138,0.041553,1.66,29.39,0.824,5.971,6544.9
0.135,0.040587,4.33,28.23,0.39,2.89,2657.8
0.135,0.040552,8.31,28.19,0.335,2.487,4119.6
0.14,0.042265,4.2,28.7,0.928,6.611,9136.2
0.141,0.042524,7.06,29.13,0.38,2.693,3089.7
0.146,0.043901,4.11,30.09,0.363,2.49,3421.9
0.132,0.039671,5.72,26.93,0.56,4.248,3787.4
0.129,0.03872,0.71,27.2,0.407,3.167,3388.7
0.135,0.04059,12.3,26.92,0.424,3.144,3355.5
0.138,0.041618,5.04,28.91,0.409,2.957,5382.1
0.141,0.042582,3.97,30.22,0.469,3.316,3023.3
0.128,0.038565,5.81,26.71,0.366,2.859,3089.7
0.136,0.040984,0.35,28.79,0.946,6.945,7807.3
0.147,0.044128,3.84,31.36,0.505,3.445,4019.9
0.133,0.040183,4.96,27.61,0.322,2.415,3787.4
0.136,0.041007,7.16,27.73,0.37,2.716,3787.4
0.124,0.037459,1.03,25.95,0.331,2.658,4252.5
