Irms,Irms_voltage,P,Q,Ipeak,CF,max_di_dt
0.205,0.061613,17.24,39.37,0.821,4.012,3488.4
0.202,0.060685,12.93,41.4,0.748,3.708,3355.5
0.203,0.060976,21.18,37.41,0.787,3.886,2857.1
0.201,0.060634,11.4,42.47,0.905,4.493,3122.9
0.193,0.058108,18.1,36.3,0.811,4.202,4518.3
0.194,0.058506,14.31,37.92,0.849,4.366,4950.2
0.226,0.068049,19.55,42.68,0.864,3.824,3754.1
0.219,0.065782,20.43,38.95,0.826,3.782,3455.2
0.186,0.055924,6.07,39.64,0.727,3.911,3588.0
0.206,0.062155,20.62,39.12,0.889,4.305,3754.2
0.18,0.054172,15.34,34.1,0.786,4.368,4252.5
0.185,0.055566,15.5,35.45,0.849,4.6,3488.4
0.223,0.067144,21.65,40.53,0.897,4.021,4352.2
0.196,0.058862,11.74,40.51,0.8,4.093,3355.5
0.211,0.063606,23.06,39.87,0.826,3.908,5814.0
0.19,0.057322,14.3,37.43,0.778,4.085,3720.9
0.223,0.067267,7.33,49.89,0.862,3.856,3787.4
0.224,0.067301,25.29,40.05,0.855,3.826,5049.8
0.178,0.053675,13.82,35.16,0.702,3.936,3289.0
0.23,0.069261,15.68,47.49,0.841,3.657,3521.6
0.211,0.063536,19.0,39.96,0.943,4.468,9169.4
0.229,0.069016,15.77,45.74,1.06,4.621,4750.8
0.211,0.063562,23.41,35.26,0.815,3.859,3820.6
0.198,0.059453,14.64,38.48,0.803,4.065,4053.2
0.219,0.065873,16.76,43.2,0.774,3.536,3588.0
0.229,0.068806,1.52,50.54,0.76,3.326,6212.6
0.226,0.067911,19.64,44.14,0.822,3.641,3820.6
0.2,0.060319,18.38,38.34,0.878,4.381,3820.6
0.197,0.059293,14.88,38.95,0.822,4.174,3189.4
0.176,0.053113,14.32,34.22,0.7,3.968,3488.4
0.208,0.062529,20.58,39.54,0.897,4.317,3488.4
0.207,0.062439,4.85,45.71,0.675,3.253,3953.5
0.203,0.061035,18.64,38.71,0.828,4.083,3953.5
0.199,0.059958,22.39,37.14,0.853,4.28,3621.3
0.206,0.061992,12.86,41.34,0.817,3.968,4152.8
0.191,0.057554,3.86,41.55,0.743,3.886,3322.3
0.195,0.058686,19.26,36.78,0.804,4.125,3455.2
0.196,0.058947,19.52,37.19,0.797,4.067,3720.9
0.194,0.058528,11.76,39.58,0.713,3.667,3621.3
0.218,0.065637,8.58,48.07,0.919,4.213,3887.0
0.158,0.047541,4.18,34.26,0.568,3.597,4019.9
0.194,0.058476,7.29,41.29,0.7,3.603,3455.2
0.195,0.0587,12.79,41.76,0.715,3.666,4551.5
0.191,0.057586,19.76,35.78,0.781,4.083,3521.6
0.202,0.060941,16.05,41.17,0.805,3.975,3720.9
0.189,0.056758,19.56,35.39,0.763,4.045,3920.3
0.21,0.063141,19.54,40.01,0.918,4.375,3953.5
0.18,0.054159,13.7,35.26,0.766,4.255,4950.2
0.193,0.05797,18.18,36.72,0.768,3.986,3754.2
0.184,0.05533,11.08,38.22,0.852,4.637,3189.4
0.188,0.056682,0.87,40.37,0.717,3.81,4252.5
0.201,0.060604,12.52,43.23,0.696,3.457,6611.3
0.19,0.057231,19.01,36.16,0.728,3.831,3787.4
0.207,0.062443,17.51,38.36,0.88,4.242,3322.3
0.19,0.057127,13.42,37.73,0.699,3.682,5880.4
0.23,0.069216,25.39,40.43,1.062,4.618,4186.1
0.217,0.065318,16.98,41.98,0.859,3.957,3687.7
0.214,0.064428,10.98,46.54,1.012,4.73,4318.9
0.189,0.056979,10.32,39.31,0.758,4.006,3887.0
0.186,0.055853,12.22,39.18,0.719,3.873,3654.5
0.222,0.06688,17.04,44.79,0.89,4.007,3820.6
0.191,0.057627,2.69,41.67,0.737,3.85,5780.7
0.226,0.068159,14.42,43.83,0.844,3.729,5548.2
0.211,0.063638,14.54,42.65,0.846,4.004,6212.6
0.203,0.061166,19.78,38.63,0.793,3.902,3322.3
0.214,0.064266,17.22,41.4,0.918,4.302,4152.8
0.186,0.05597,14.96,36.18,0.827,4.448,3521.6
0.225,0.067683,9.95,49.31,0.813,3.617,4418.6
0.202,0.060822,19.18,39.31,0.753,3.726,4385.4
0.18,0.054268,16.87,33.16,0.719,3.987,3720.9
0.199,0.059915,10.47,41.25,0.699,3.513,4086.4
0.207,0.062384,5.25,45.77,0.852,4.11,3122.9
0.187,0.056266,15.36,36.5,0.84,4.493,3255.8
0.189,0.056785,6.81,40.91,0.693,3.673,3953.5
0.194,0.058359,18.36,37.72,0.83,4.28,3554.8
0.189,0.056938,19.14,36.47,0.793,4.191,2857.1
0.188,0.056629,15.14,37.06,0.74,3.935,3687.7
0.216,0.064875,9.53,46.92,0.763,3.54,3322.3
0.159,0.04785,8.57,31.6,0.595,3.742,4053.2
0.21,0.063228,18.86,39.27,0.784,3.735,4318.9
0.206,0.062006,24.26,34.46,0.859,4.172,3920.3
0.186,0.055876,13.4,37.06,0.738,3.976,3355.5
0.226,0.067902,29.49,36.96,0.854,3.784,3953.5
0.192,0.057753,16.11,37.35,0.822,4.286,3289.0
0.188,0.056701,15.68,36.78,0.793,4.209,2990.0
0.2,0.060112,13.82,39.88,0.857,4.291,4285.7
0.2,0.060176,21.66,37.8,0.759,3.794,3720.9
0.19,0.05714,17.04,36.72,1.001,5.274,6943.5
0.197,0.059409,21.61,36.29,0.84,4.257,3787.4
0.226,0.068176,18.74,42.49,0.977,4.312,3787.4
0.211,0.063395,10.11,44.7,0.834,3.962,9202.7
0.194,0.058294,2.13,41.82,0.777,4.011,3720.9
0.23,0.069202,15.79,47.52,0.807,3.512,3820.6
0.204,0.061482,20.83,38.5,0.759,3.716,3687.7
0.193,0.058112,13.58,38.38,0.764,3.956,3588.0
0.194,0.058325,19.61,36.72,0.823,4.25,3322.3
0.2,0.06008,14.05,39.85,0.829,4.154,3521.6
0.217,0.065293,20.25,40.58,0.805,3.712,3820.6
0.228,0.068736,17.9,46.22,0.898,3.931,3588.0
0.189,0.05695,13.29,37.65,0.758,4.005,2624.6
0.202,0.060898,17.97,39.63,0.837,4.136,3455.2
0.212,0.063826,19.12,39.29,0.904,4.265,3355.5
0.175,0.052695,9.53,37.02,0.674,3.85,3189.4
0.207,0.062413,23.47,36.59,0.809,3.9,3488.4
0.195,0.058742,18.61,37.51,0.931,4.773,3122.9
0.192,0.057864,13.64,37.92,0.762,3.964,3255.8
0.2,0.060246,19.53,37.98,0.92,4.595,2990.0
0.189,0.056829,8.73,41.06,0.765,4.049,3488.4
0.183,0.055112,14.17,35.73,0.736,4.019,3388.7
0.208,0.062685,11.66,45.76,0.786,3.775,3554.8
0.201,0.060614,22.35,37.66,0.797,3.957,3820.6
0.221,0.066609,19.44,42.57,0.833,3.763,3720.9
0.202,0.060823,17.83,40.55,0.827,4.091,3820.6
0.225,0.067666,8.21,49.44,0.754,3.353,3687.7
0.206,0.062119,18.57,41.33,0.777,3.766,3421.9
0.196,0.059068,16.06,38.16,0.845,4.305,3355.5
0.215,0.064709,5.79,46.28,0.77,3.582,5448.5
0.21,0.063329,23.39,36.91,0.846,4.022,3289.0
0.194,0.058317,14.58,37.77,0.769,3.97,3853.8
0.199,0.059804,16.63,38.65,0.851,4.284,3820.6
0.196,0.05905,16.59,38.33,0.758,3.863,3754.2
0.211,0.063401,1.47,48.34,0.686,3.255,4019.9
0.212,0.063796,12.51,42.26,0.771,3.638,3920.3
0.203,0.061062,19.67,39.04,0.804,3.966,3754.2
0.217,0.06541,14.75,44.45,0.827,3.806,3953.5
0.191,0.057373,15.52,37.41,0.777,4.076,3156.1
0.189,0.05693,19.77,33.25,0.694,3.668,3189.4
0.182,0.054658,13.5,35.73,0.772,4.249,3189.4
0.21,0.063242,10.83,44.58,0.757,3.603,3421.9
0.19,0.05729,13.97,37.99,0.787,4.133,3455.1
0.209,0.063026,11.38,44.65,0.927,4.426,2757.5
0.22,0.066199,20.53,40.75,0.881,4.006,4418.6
0.196,0.05912,14.27,38.94,0.817,4.159,4086.4
0.184,0.055395,19.28,34.83,0.784,4.262,3222.6
0.191,0.057358,12.27,38.28,0.805,4.224,3588.0
0.193,0.057983,14.56,38.28,0.843,4.376,3089.7
0.206,0.061979,15.32,39.08,0.723,3.514,6910.3
0.21,0.06314,17.22,41.88,0.731,3.486,3421.9
0.221,0.06666,18.9,40.85,0.811,3.66,4485.0
0.213,0.064063,11.02,44.13,0.857,4.026,3986.7
0.223,0.067181,17.49,43.73,0.922,4.133,3986.7
0.209,0.062873,18.38,40.53,0.901,4.316,3621.3
0.219,0.065866,20.16,42.01,0.891,4.071,4385.4
0.204,0.061366,17.19,39.05,0.838,4.11,3853.8
0.223,0.067048,20.71,40.74,0.86,3.863,3621.3
0.199,0.059818,14.23,38.94,0.76,3.824,3455.2
0.191,0.057605,17.58,36.62,0.751,3.925,3455.2
0.207,0.062215,13.96,43.01,0.828,4.005,3588.0
0.216,0.064928,20.36,41.32,0.805,3.732,4784.1
0.213,0.064063,20.72,37.35,0.761,3.574,3654.5
0.225,0.067628,21.44,41.27,0.874,3.889,3521.6
0.196,0.05902,16.75,37.67,0.753,3.842,3588.0
0.209,0.062793,4.1,44.32,0.76,3.641,9169.4
0.21,0.063269,24.23,37.18,0.751,3.574,3953.5
0.189,0.056986,20.48,34.89,0.803,4.241,3388.7
0.199,0.059829,16.7,38.73,0.874,4.398,3388.7
0.182,0.054737,5.53,38.73,0.759,4.174,2956.8
0.193,0.0581,16.83,36.78,0.772,3.998,3189.4
0.223,0.067189,6.5,48.44,0.917,4.109,3089.7
0.183,0.055206,12.16,37.75,0.748,4.076,3554.8
0.192,0.057659,14.62,37.02,0.825,4.306,3887.0
0.196,0.059113,16.87,37.43,0.792,4.032,3720.9
0.214,0.064467,9.52,45.38,0.839,3.919,3920.3
0.192,0.057687,15.15,36.98,0.839,4.377,3654.5
0.207,0.062415,3.87,45.57,0.793,3.824,3820.6
0.197,0.059237,18.63,37.6,0.864,4.39,3322.3
0.192,0.057759,18.83,35.81,0.799,4.163,3521.6
0.205,0.061629,17.8,39.16,0.796,3.89,3488.4
0.204,0.061382,20.41,38.37,0.881,4.322,3654.5
0.186,0.055985,16.22,35.84,0.779,4.187,3255.8
0.192,0.057906,11.94,38.91,0.713,3.707,5548.2
0.196,0.058929,13.49,38.88,0.816,4.17,4053.2
0.222,0.066685,8.78,46.58,0.993,4.48,8936.9
0.216,0.065069,16.48,42.39,0.908,4.2,3787.4
0.208,0.062626,8.01,44.69,0.906,4.354,3355.5
0.194,0.058535,17.96,37.07,0.804,4.136,3521.6
0.193,0.058191,16.18,37.72,0.825,4.266,3654.5
0.191,0.057607,19.5,35.45,0.772,4.033,3056.5
0.196,0.05908,17.9,37.27,0.886,4.512,3455.2
0.2,0.060194,21.38,37.34,0.798,3.992,2923.6
0.194,0.058478,15.24,38.13,0.806,4.151,3156.1
0.187,0.056299,13.79,36.02,0.789,4.216,4252.5
0.197,0.059211,16.99,37.5,0.826,4.199,3488.4
0.222,0.066876,11.21,48.11,0.825,3.713,4518.3
0.202,0.060933,11.53,42.03,0.85,4.198,4053.2
0.172,0.051917,10.63,36.4,0.703,4.074,3355.5
0.227,0.068199,19.3,43.9,0.837,3.693,3554.8
0.213,0.064259,13.91,41.26,0.755,3.535,3853.8
0.214,0.064298,21.51,38.81,0.854,3.997,4219.3
0.187,0.056231,12.53,38.01,0.808,4.324,7309.0
0.195,0.058749,12.91,38.98,0.873,4.471,4152.8
0.203,0.06107,19.83,38.5,0.848,4.179,3787.4
0.226,0.068062,18.74,44.39,0.761,3.365,4053.2
0.202,0.060878,7.91,44.85,0.768,3.797,3255.8
0.198,0.059534,19.16,37.3,0.809,4.089,3488.4
0.202,0.060772,10.24,42.14,0.767,3.798,3355.5
0.213,0.064263,12.17,44.45,0.753,3.527,3421.9
0.229,0.069026,14.69,44.75,0.845,3.683,6943.5
0.193,0.058206,15.6,37.65,0.721,3.728,3355.5
0.198,0.059699,20.55,37.27,0.813,4.099,3388.7
0.229,0.069023,17.32,44.81,0.776,3.385,6245.9
0.199,0.059989,7.66,43.01,0.77,3.866,3588.0
0.215,0.064804,19.86,41.4,0.845,3.925,4485.0
0.189,0.056769,14.75,36.87,0.814,4.318,3720.9
0.194,0.058411,15.56,38.27,0.792,4.083,3488.4
0.229,0.068831,18.16,42.34,0.784,3.428,6544.9
0.2,0.060139,13.64,39.92,0.787,3.941,5049.8
0.22,0.066323,9.38,44.69,0.813,3.689,3887.0
0.198,0.059587,12.69,39.2,0.738,3.73,3754.2
0.21,0.06321,11.22,45.09,0.825,3.931,3488.4
0.19,0.057141,8.18,39.98,0.779,4.103,3787.4
0.229,0.068825,23.28,41.77,0.889,3.888,3953.5
0.207,0.062329,11.14,41.95,0.833,4.025,3355.5
0.197,0.059305,17.57,38.21,0.794,4.029,3654.5
0.197,0.05934,14.54,38.37,0.887,4.499,3754.1
0.203,0.061071,14.15,40.23,0.887,4.372,3953.5
0.187,0.056184,14.72,36.2,0.782,4.19,3322.3
0.222,0.066827,24.69,40.6,0.766,3.45,3621.3
0.164,0.049416,7.63,34.3,0.647,3.943,4219.3
0.213,0.064208,7.88,46.0,0.786,3.684,5913.6
0.205,0.061717,8.76,44.35,0.737,3.593,3355.5
0.208,0.062715,18.81,40.6,0.818,3.925,4418.6
0.21,0.063224,10.63,43.09,0.829,3.947,4252.5
0.192,0.057845,15.45,37.4,0.788,4.101,3156.1
0.195,0.058567,14.74,38.05,0.813,4.176,3322.3
0.22,0.066116,16.94,43.41,0.928,4.223,4617.9
0.189,0.05698,19.25,35.36,0.735,3.884,4451.8
0.19,0.057046,15.75,37.5,0.79,4.168,3156.1
0.214,0.064322,5.05,45.49,0.8,3.742,3953.5
0.196,0.059011,18.13,38.19,0.875,4.461,3554.8
0.192,0.057766,20.76,34.45,0.772,4.022,3720.9
0.191,0.057366,17.55,37.05,0.835,4.381,3156.1
0.206,0.061897,16.69,40.96,0.845,4.111,3322.3
0.191,0.05741,5.09,42.57,0.681,3.569,3654.5
0.227,0.068336,6.99,48.48,0.763,3.36,3621.3
0.167,0.050283,10.15,35.58,0.663,3.97,3255.8
0.191,0.057464,2.22,43.1,0.669,3.506,3621.3
0.21,0.063159,16.25,39.67,0.904,4.307,3621.3
0.17,0.051111,6.9,35.27,0.662,3.9,7176.1
0.167,0.050396,11.79,33.4,0.707,4.225,3023.3
0.174,0.052438,17.81,32.71,0.747,4.287,3421.9
0.191,0.057389,16.06,37.21,0.758,3.974,4285.7
0.221,0.066429,18.82,41.94,0.769,3.486,7674.4
0.167,0.0504,11.52,34.25,0.702,4.195,3289.0
0.199,0.059801,2.85,44.15,0.652,3.28,3388.7
0.19,0.057141,19.4,34.27,0.751,3.957,3654.5
0.166,0.049865,1.74,36.99,0.692,4.175,3322.3
0.219,0.066019,21.86,40.02,0.866,3.95,3654.5
0.178,0.053525,15.55,34.69,0.726,4.083,2923.6
0.173,0.051939,6.27,38.02,0.633,3.669,7475.1
0.177,0.053178,11.23,35.62,0.677,3.832,3887.0
0.173,0.051933,16.81,33.12,0.692,4.013,3687.7
0.23,0.069183,13.27,46.08,0.96,4.176,3720.9
0.229,0.068916,19.51,41.61,0.973,4.248,3355.5
0.229,0.069043,15.35,45.74,0.904,3.943,6179.4
0.207,0.062358,6.44,43.29,0.752,3.63,4418.6
0.212,0.063862,20.07,38.68,0.776,3.658,3853.8
0.213,0.064124,17.78,41.05,0.834,3.914,3455.1
0.21,0.06312,4.32,46.45,0.735,3.504,7441.9
0.175,0.052705,6.42,37.62,0.615,3.514,3687.7
0.188,0.056504,11.95,37.41,0.822,4.379,3554.8
0.179,0.053762,14.69,34.52,0.772,4.325,3355.5
0.175,0.052595,12.73,34.73,0.735,4.205,3089.7
0.207,0.06216,17.51,39.53,0.776,3.759,3355.5
0.219,0.065849,12.18,44.51,0.694,3.174,7608.0
0.211,0.063425,0.51,45.58,0.697,3.306,6644.5
0.199,0.059949,22.26,33.45,0.741,3.723,3455.2
0.226,0.068005,19.7,43.08,0.787,3.484,4318.9
0.202,0.060848,7.55,45.4,0.789,3.903,3621.3
0.192,0.057904,1.29,41.43,0.785,4.08,3255.8
0.189,0.056902,17.02,36.95,0.766,4.054,3521.6
0.192,0.057875,18.79,37.3,0.829,4.31,3122.9
0.168,0.050661,7.38,36.69,0.68,4.038,2956.8
0.169,0.050858,5.87,37.3,0.657,3.891,2956.8
0.181,0.054535,10.95,36.84,0.74,4.083,3322.3
0.177,0.053156,17.11,33.86,0.706,3.998,2923.6
0.18,0.054329,15.59,35.4,0.753,4.172,3222.6
0.19,0.05717,18.38,36.88,0.768,4.043,3455.2
0.193,0.058103,15.63,37.99,0.739,3.827,3787.4
0.174,0.05234,12.81,34.82,0.75,4.312,4318.9
0.217,0.065244,12.7,44.15,0.706,3.255,4451.8
0.162,0.048694,12.63,31.95,0.639,3.952,3122.9
0.177,0.053322,11.37,36.2,0.754,4.259,2923.6
0.192,0.0579,21.47,32.96,0.67,3.483,3322.3
0.181,0.054368,12.4,36.66,0.644,3.563,3355.5
0.199,0.05988,23.63,35.59,0.708,3.561,3588.0
0.17,0.05124,4.37,36.86,0.672,3.945,5714.3
0.192,0.057698,4.66,41.99,0.71,3.703,3654.5
0.178,0.053712,8.32,38.87,0.695,3.896,4485.0
0.183,0.054933,2.54,40.79,0.616,3.376,3421.9
0.176,0.052924,13.57,34.77,0.768,4.37,3322.3
0.201,0.060477,18.81,39.98,0.951,4.732,4318.9
0.221,0.066652,14.13,44.49,0.745,3.367,4219.3
0.168,0.050557,13.5,32.81,0.69,4.107,2956.8
0.18,0.054194,16.78,34.82,0.663,3.683,3089.7
0.177,0.053164,10.74,36.63,0.634,3.591,3621.3
0.189,0.056889,18.02,36.57,0.712,3.767,3023.3
0.201,0.060575,14.66,39.92,0.798,3.965,3920.3
0.2,0.060239,8.42,43.14,0.76,3.797,3388.7
0.191,0.057366,19.38,36.08,0.776,4.069,3122.9
0.225,0.067663,21.58,42.38,1.019,4.532,4086.4
0.2,0.06034,22.16,37.14,0.882,4.4,3820.6
0.195,0.058611,19.07,37.56,0.837,4.298,3388.7
0.216,0.064954,16.83,42.23,0.982,4.55,8405.3
0.211,0.063623,17.62,41.03,0.962,4.552,3621.3
0.194,0.058514,13.98,38.71,0.827,4.256,3986.7
0.193,0.058183,15.51,37.51,0.758,3.922,3521.6
0.22,0.066358,19.93,42.92,0.862,3.912,3754.2
0.201,0.060523,18.94,38.48,0.828,4.118,3355.5
0.194,0.058527,18.6,37.36,0.9,4.629,3156.1
0.205,0.061621,17.83,39.45,0.826,4.034,3355.5
0.2,0.060081,20.24,37.96,0.779,3.902,3720.9
0.192,0.057821,16.65,37.21,0.761,3.962,3388.7
0.213,0.064181,11.36,46.28,0.845,3.963,3255.8
0.193,0.05824,16.82,37.51,0.782,4.041,3056.5
0.193,0.058237,19.52,36.93,0.741,3.829,2990.0
0.201,0.060476,16.65,39.36,0.752,3.742,3588.0
0.193,0.057987,20.67,36.28,0.854,4.433,3953.5
0.214,0.064484,18.24,41.28,0.859,4.011,3455.2
0.201,0.06049,7.34,44.17,0.808,4.023,9402.0
0.22,0.066364,21.44,41.41,0.871,3.951,3189.4
0.227,0.068411,15.31,44.11,0.882,3.88,9833.9
0.193,0.058086,14.04,39.64,0.957,4.959,3355.5
0.187,0.056319,16.59,36.63,0.809,4.324,3056.5
0.229,0.069017,21.94,40.8,0.964,4.204,3887.0
0.189,0.056983,14.56,37.54,0.815,4.303,3388.7
0.169,0.050997,10.04,37.22,0.721,4.256,3355.5
0.188,0.056541,13.89,37.49,0.802,4.269,3588.0
0.195,0.058708,16.39,39.93,0.81,4.151,3255.8
0.175,0.052617,5.78,37.97,0.675,3.862,3953.5
0.192,0.057833,10.26,39.65,0.888,4.623,3754.2
0.204,0.06128,5.54,43.54,0.827,4.064,4584.7
0.176,0.053057,14.96,34.07,0.689,3.907,3388.7
0.198,0.059489,19.98,36.9,0.774,3.916,3920.3
0.185,0.05581,14.16,36.52,0.715,3.859,2923.6
0.189,0.057031,14.8,37.05,0.761,4.017,3222.6
0.22,0.066185,26.92,38.03,0.968,4.403,4651.2
0.191,0.057456,7.56,40.76,0.862,4.518,3720.9
0.207,0.062244,10.07,42.35,0.742,3.589,3455.1
0.22,0.066308,23.63,37.19,0.788,3.578,4684.4
0.197,0.059339,16.53,38.07,0.857,4.348,3189.4
0.224,0.067283,18.3,41.83,0.757,3.388,3787.4
0.21,0.063138,11.43,44.25,0.859,4.094,3720.9
0.195,0.058596,14.77,38.27,0.729,3.745,4053.2
0.204,0.061465,20.65,39.2,0.81,3.968,3189.4
0.193,0.057983,13.96,38.56,0.8,4.155,3488.4
0.195,0.058641,13.62,38.88,0.817,4.193,3355.5
0.224,0.067305,22.0,40.5,0.794,3.549,3488.4
0.192,0.057815,15.91,38.06,0.841,4.378,3421.9
0.204,0.061298,17.52,38.48,0.793,3.894,4518.3
0.196,0.058886,12.92,39.79,0.818,4.182,3621.3
0.193,0.057991,18.07,37.32,0.79,4.101,3787.4
0.193,0.058198,14.17,38.54,0.777,4.02,3222.6
0.186,0.056017,12.29,40.26,0.693,3.722,3156.1
0.23,0.069187,17.78,47.72,0.829,3.605,3588.0
0.191,0.057403,16.75,37.25,0.75,3.932,3521.6
0.212,0.063724,19.91,39.68,0.791,3.735,3654.5
0.194,0.058267,13.15,39.26,0.856,4.42,3189.4
0.19,0.057216,8.31,42.17,0.823,4.33,3521.6
0.191,0.057523,15.35,37.92,0.771,4.035,7275.8
0.212,0.063742,19.2,41.25,0.827,3.905,3189.4
0.196,0.059001,6.19,44.07,0.674,3.438,3621.3
0.225,0.067861,19.35,44.26,0.839,3.722,3588.0
0.23,0.069337,17.02,46.73,0.925,4.014,3421.9
0.228,0.068537,19.79,43.1,0.978,4.297,4617.9
0.21,0.063108,16.11,41.64,0.971,4.629,3621.3
0.191,0.057384,10.66,41.82,0.738,3.872,3654.5
0.21,0.063081,13.59,44.11,0.869,4.146,4053.2
0.194,0.05839,18.39,37.69,0.805,4.149,3023.3
0.183,0.055053,13.51,36.18,0.725,3.964,3488.4
0.212,0.063929,5.94,46.59,0.857,4.037,3421.9
0.21,0.063344,9.58,45.47,0.771,3.662,4518.3
0.172,0.051707,9.78,37.29,0.716,4.17,3255.8
0.205,0.061791,16.76,39.37,0.721,3.515,4019.9
0.23,0.069316,21.45,43.25,0.724,3.144,4684.4
0.197,0.05922,19.04,37.53,0.847,4.305,3089.7
0.181,0.054383,7.06,38.73,0.798,4.415,3588.0
0.218,0.065755,8.2,47.82,0.883,4.04,7309.0
0.189,0.056916,19.47,35.65,0.798,4.219,3687.7
0.18,0.054137,7.51,37.79,0.664,3.689,2990.0
0.201,0.060422,19.36,38.95,0.815,4.062,3521.6
0.212,0.06373,17.86,40.84,0.762,3.601,3222.6
0.192,0.057903,16.06,37.7,0.747,3.885,3953.5
0.186,0.055948,20.54,35.15,0.736,3.959,2956.8
0.196,0.058972,12.01,41.1,0.875,4.465,3122.9
0.22,0.06623,9.89,47.12,0.791,3.597,3488.4
0.178,0.053507,15.14,34.6,0.724,4.073,3222.6
0.199,0.059826,16.73,39.33,0.761,3.826,4485.0
0.221,0.066485,19.86,42.39,0.805,3.643,4784.0
0.218,0.065752,18.81,41.09,0.873,3.996,3588.0
0.198,0.059623,5.51,43.01,0.694,3.501,3521.6
0.193,0.058097,11.63,40.37,0.769,3.986,3355.5
0.196,0.058971,19.24,36.82,0.856,4.367,3820.6
0.219,0.065853,20.55,42.01,0.86,3.929,4252.5
0.196,0.059034,11.2,38.85,0.744,3.793,3189.4
0.191,0.057582,13.61,38.32,0.808,4.226,4186.0
0.184,0.055311,11.03,39.64,0.717,3.9,4252.5
0.198,0.059681,14.6,39.43,0.883,4.451,3853.8
0.216,0.065051,7.44,48.08,0.818,3.784,6146.2
0.181,0.054417,9.92,39.36,0.694,3.841,3421.9
0.196,0.058876,11.77,41.23,0.86,4.396,3322.3
0.187,0.056321,13.05,39.88,0.857,4.582,3421.9
0.189,0.056849,14.77,37.26,0.781,4.137,4684.4
0.182,0.054781,6.62,39.32,0.69,3.791,3521.6
0.211,0.063393,18.43,38.64,0.776,3.686,4485.0
0.211,0.063477,4.44,46.42,0.777,3.683,3588.0
0.183,0.055221,11.48,39.78,0.774,4.217,4053.2
