Irms,Irms_voltage,P,Q,Ipeak,CF,max_di_dt
0.155,0.046609,6.42,33.59,0.577,3.729,3023.3
0.161,0.048375,11.06,34.3,0.691,4.299,3289.0
0.163,0.049009,15.34,32.09,0.779,4.786,3986.7
0.203,0.061006,21.67,39.72,0.786,3.876,3554.8
0.168,0.050526,4.5,36.86,0.636,3.787,3953.5
0.174,0.052406,6.56,38.98,0.693,3.981,3687.7
0.224,0.067442,22.51,39.78,0.812,3.625,3421.9
0.228,0.068762,18.7,44.83,0.864,3.782,5481.7
0.189,0.056773,10.95,37.6,0.752,3.985,3953.5
0.197,0.059154,17.64,38.69,0.783,3.984,3621.3
0.212,0.063954,17.62,40.59,0.931,4.381,6511.6
0.185,0.055603,15.62,36.19,0.752,4.072,3588.0
0.228,0.068726,22.19,42.44,0.924,4.045,5980.1
0.212,0.063757,21.95,38.1,0.831,3.922,3720.9
0.214,0.06445,15.52,42.11,0.796,3.717,3853.8
0.184,0.055314,18.58,35.46,0.807,4.392,3156.1
0.204,0.061291,21.53,35.69,0.866,4.252,3455.1
0.219,0.06606,21.1,42.55,0.872,3.972,9368.8
0.211,0.063601,7.14,47.08,0.689,3.261,7109.6
0.214,0.0643,19.14,40.06,0.729,3.412,3621.3
0.207,0.062406,16.94,39.08,0.907,4.374,3089.7
0.211,0.063507,11.67,43.27,0.83,3.934,3521.6
0.212,0.063933,19.2,40.89,0.932,4.387,3920.3
0.192,0.057837,13.47,38.06,0.786,4.091,4750.8
0.186,0.055839,14.37,36.43,0.777,4.19,3787.4
0.211,0.063631,22.64,38.47,0.843,3.989,3421.9
0.208,0.062612,7.88,43.62,0.874,4.203,3920.3
0.21,0.063164,13.27,42.81,0.787,3.751,4551.5
0.177,0.053329,15.04,33.8,0.762,4.303,4086.4
0.201,0.06054,5.16,44.04,0.725,3.605,3687.7
0.203,0.061135,15.4,40.74,0.773,3.807,5913.6
0.23,0.069304,22.18,41.5,0.934,4.056,4551.5
0.22,0.066327,10.89,47.2,0.877,3.979,9701.0
0.192,0.057645,15.97,37.46,0.744,3.886,3820.6
0.202,0.06094,15.04,40.32,0.806,3.982,3787.4
0.197,0.059244,12.91,39.18,0.839,4.264,3754.2
0.205,0.061654,21.86,39.19,0.848,4.142,3787.4
0.188,0.056615,15.93,37.23,0.707,3.759,3621.3
0.203,0.061032,17.48,39.7,0.914,4.507,3887.0
0.192,0.057797,7.9,41.83,0.758,3.95,3455.2
0.219,0.066029,13.3,46.47,0.807,3.677,3986.7
0.213,0.063987,21.29,39.37,0.864,4.063,3488.4
0.197,0.059408,14.38,39.73,0.828,4.194,3056.5
0.197,0.059444,14.86,38.95,0.838,4.241,3322.3
0.175,0.05282,10.24,36.31,0.85,4.841,3222.6
0.197,0.059424,19.65,35.91,0.801,4.059,3554.8
0.206,0.062053,20.5,38.44,0.803,3.894,3156.1
0.2,0.060137,18.66,39.8,0.851,4.261,8804.0
0.193,0.058009,19.87,34.77,0.699,3.626,4617.9
0.193,0.058092,11.55,38.23,0.765,3.965,3322.3
0.2,0.060289,8.87,42.41,0.862,4.306,4252.5
0.21,0.063265,16.15,40.74,0.895,4.259,4252.5
0.215,0.064726,24.63,39.13,0.817,3.801,3953.5
0.203,0.061208,16.67,40.18,0.923,4.541,4219.3
0.185,0.055796,17.33,34.56,0.769,4.151,4352.2
0.189,0.056852,12.98,41.07,0.818,4.33,3355.5
0.202,0.060902,14.51,41.5,0.736,3.636,3289.0
