Vrms_current,Vrms,Irms,P,S,PF
0.0507,229.4,0.156,6.242,35.864,0.174
0.057,226.8,0.176,6.576,39.916,0.165
0.0506,230.2,0.156,6.649,35.933,0.185
0.053,220.5,0.164,9.541,36.081,0.264
0.0497,231.9,0.153,6.63,35.547,0.187
0.0526,223,0.162,8.547,36.186,0.236
0.0513,227.7,0.158,7.386,36.056,0.205
0.0504,229.1,0.156,7.169,35.641,0.201
0.0525,223.9,0.162,8.358,36.267,0.23
0.0508,231.2,0.157,6.798,36.268,0.187
0.0516,224.8,0.159,8.025,35.806,0.224
0.0521,227.9,0.161,7.077,36.64,0.193
0.0518,226.5,0.16,8.278,36.225,0.229
0.0573,225.9,0.177,7,39.942,0.175
0.0498,230.1,0.154,6.854,35.401,0.194
0.0534,225.1,0.165,8.736,37.068,0.236
0.053,227.4,0.163,8.071,37.175,0.217
0.0555,225.7,0.171,9.54,38.65,0.247
0.0534,229.5,0.165,7.688,37.84,0.203
0.0537,224,0.166,8.589,37.101,0.232
0.0557,231,0.172,5.077,39.738,0.128
0.0547,224.1,0.169,7.831,37.811,0.207
0.0517,228.2,0.159,7.162,36.392,0.197
0.0532,222.6,0.164,8.762,36.558,0.24
0.0522,233.3,0.161,6.573,37.585,0.175
0.0523,233.5,0.161,9.163,37.696,0.243
0.0503,243,0.155,8.927,37.725,0.237
0.0606,235,0.187,5.264,43.953,0.12
0.0522,231,0.161,7.876,37.181,0.212
0.0612,224.6,0.203,12.276,45.681,0.269
0.0623,231.1,0.207,11.665,47.822,0.244
0.0652,225.6,0.217,14.725,48.869,0.301
0.0594,224,0.183,9.94,41.065,0.242
0.0607,229.2,0.187,12.685,42.954,0.295
0.0606,227.3,0.187,12.658,42.494,0.298
0.052,227.1,0.161,7.769,36.457,0.213
0.049,228.2,0.151,7.215,34.481,0.209
0.0625,229.7,0.208,5.55,47.697,0.116
0.0561,228.7,0.173,9.412,39.566,0.238
0.0511,224,0.158,9.202,35.312,0.261
0.0503,228.5,0.155,6.381,35.466,0.18
0.0548,225.3,0.169,8.055,38.105,0.211
0.0492,229.2,0.152,6.559,34.834,0.188
0.0518,221.2,0.16,9.816,35.353,0.278
0.05,228.6,0.154,6.841,35.317,0.194
0.0535,225.1,0.165,8.413,37.206,0.226
0.0513,228.8,0.158,7.489,36.232,0.207
0.0566,226.6,0.175,6.888,39.593,0.174
0.0511,228.3,0.158,7.497,36.012,0.208
0.0526,230.7,0.162,5.75,37.455,0.154
0.0541,225.4,0.167,8.173,37.609,0.217
0.0533,227.9,0.165,7.342,37.522,0.196
0.0499,231.4,0.154,7.065,35.673,0.198
0.0531,224.4,0.164,8.907,36.806,0.242
0.0508,232.8,0.157,6.406,36.48,0.176
0.054,228.4,0.167,7.564,38.047,0.199
0.0533,229.2,0.165,8.685,37.715,0.23
0.0576,225.4,0.178,10.223,40.102,0.255
0.0537,226.8,0.166,8.943,37.581,0.238
0.0554,224.7,0.171,9.33,38.419,0.243
0.0528,230.2,0.163,7.212,37.536,0.192
0.0572,227.9,0.176,8.799,40.215,0.219
0.0517,230.9,0.159,5.872,36.812,0.16
0.0519,225.1,0.16,8.695,36.05,0.241
0.0499,231.4,0.154,7,35.609,0.197
0.0545,226.3,0.168,9.781,38.092,0.257
0.0579,231.6,0.179,10.708,41.397,0.259
0.0499,230.9,0.154,7.438,35.537,0.209
0.0517,224.6,0.16,8.934,35.852,0.249
0.0574,231,0.177,7.761,40.909,0.19
0.0568,230.3,0.175,6.019,40.402,0.149
0.0519,231,0.16,6.89,37,0.186
0.0537,230.4,0.166,6.749,38.213,0.177
0.0534,227.3,0.165,8.149,37.499,0.217
0.0552,234.5,0.17,5.86,39.923,0.147
0.0524,225.6,0.162,9.027,36.508,0.247
0.0512,233.3,0.158,6.574,36.847,0.178
0.0546,224.9,0.168,9.062,37.872,0.239
0.0508,230.8,0.157,7.761,36.178,0.215
0.0529,227.9,0.163,8.185,37.193,0.22
0.0514,232.1,0.159,6.472,36.81,0.176
0.055,226.4,0.17,8.778,38.432,0.228
0.0497,232.4,0.154,6.894,35.69,0.193
0.0539,223.7,0.166,10.065,37.199,0.271
0.0589,231.4,0.182,6.252,42.098,0.149
0.0529,232.6,0.163,6.726,37.989,0.177
0.0527,228.1,0.163,8.537,37.109,0.23
0.051,227.5,0.158,8.827,35.825,0.246
0.0537,230.7,0.166,6.933,38.224,0.181
0.0568,223,0.175,8.834,39.1,0.226
0.0527,232.4,0.163,6.408,37.779,0.17
0.0534,222.8,0.165,9.875,36.725,0.269
0.0524,230.9,0.162,6.672,37.337,0.179
0.0594,226.5,0.183,7.908,41.496,0.191
0.0518,230.4,0.16,7.035,36.809,0.191
0.0546,225.3,0.168,8.629,37.945,0.227
0.0498,233.3,0.154,6.046,35.896,0.168
0.0534,225.2,0.165,9.379,37.147,0.252
0.0526,231.8,0.162,6.288,37.651,0.167
0.0539,226.9,0.166,8.41,37.772,0.223
0.0533,224.7,0.165,8.877,36.965,0.24
0.0503,230,0.155,7.397,35.719,0.207
0.0547,233.9,0.169,9.233,39.458,0.234
0.0525,227.6,0.162,8.185,36.894,0.222
0.0561,230.2,0.173,7.757,39.887,0.194
0.0537,224.8,0.166,8.527,37.223,0.229
0.0521,235.3,0.161,7.993,37.864,0.211
0.0545,225.2,0.168,7.524,37.859,0.199
0.0511,229.3,0.158,6.987,36.163,0.193
0.0545,225,0.168,7.939,37.871,0.21
0.0536,223.9,0.166,8.594,37.068,0.232
0.0535,226,0.165,8.36,37.305,0.224
0.0544,226.4,0.168,8.241,38.04,0.217
0.0502,231.5,0.155,6.649,35.875,0.185
0.0515,235.9,0.159,10.089,37.508,0.269
0.0513,238.4,0.158,7.063,37.771,0.187
0.052,232.7,0.161,9.404,37.356,0.252
0.0519,233.1,0.16,8.666,37.304,0.232
0.056,230.9,0.173,9.267,39.915,0.232
0.0567,227.9,0.175,10.07,39.892,0.252
0.0511,229.9,0.158,7.142,36.275,0.197
0.0539,234.6,0.166,9.756,39.004,0.25
0.0543,227,0.168,7.559,38.061,0.199
0.0538,240.8,0.166,8.254,39.993,0.206
0.0592,231.5,0.183,7.694,42.337,0.182
0.0612,229.2,0.203,12.683,46.615,0.272
0.0516,228.8,0.159,7.71,36.429,0.212
0.0541,229.9,0.167,6.683,38.409,0.174
0.0553,226.2,0.171,9.796,38.605,0.254
0.0582,228.2,0.18,9.674,40.994,0.236
0.0521,235.4,0.161,8.222,37.822,0.217
0.0556,232.6,0.172,10.354,39.927,0.259
0.0582,233.9,0.18,12.57,42.016,0.299
0.0565,240.4,0.174,12.095,41.912,0.289
0.0621,223.9,0.206,13.83,46.183,0.299
0.0593,234.8,0.183,11.976,42.973,0.279
0.061,222,0.188,13.386,41.772,0.32
0.0616,230.3,0.205,9.314,47.141,0.198
0.0607,230,0.187,14.425,43.087,0.335
0.0603,241.2,0.186,11.828,44.87,0.264
0.0629,231.5,0.209,13.57,48.343,0.281
0.0607,224.3,0.187,12.029,42.012,0.286
0.0565,249.2,0.174,14.028,43.462,0.323
0.0616,223.4,0.205,13.493,45.728,0.295
0.0522,225.5,0.161,7.006,36.356,0.193
0.0572,224.8,0.176,6.799,39.658,0.171
0.0533,227.2,0.165,9.348,37.388,0.25
0.0535,229.6,0.165,6.752,37.886,0.178
0.057,228.7,0.176,7.648,40.235,0.19
0.0529,225.2,0.163,8.011,36.753,0.218
0.0524,238.4,0.162,11.069,38.537,0.287
0.0533,240.6,0.165,7.449,39.601,0.188
0.0557,222.8,0.172,8.443,38.326,0.22
0.0521,242.4,0.161,6.859,38.989,0.176
0.0568,240.8,0.175,10.496,42.195,0.249
0.0586,228.3,0.181,5.875,41.298,0.142
0.0524,229.4,0.162,6.399,37.11,0.172
0.0576,224.1,0.178,9.779,39.811,0.246
0.0529,226,0.163,7.333,36.92,0.199
0.0552,226.8,0.17,7.126,38.609,0.185
0.0512,227.4,0.158,7.583,35.953,0.211
0.0548,222,0.169,9.4,37.523,0.251
0.0643,231.4,0.214,3.752,49.455,0.076
0.0513,236.8,0.158,7.074,37.474,0.189
0.0538,232,0.166,8.537,38.509,0.222
0.0626,224.7,0.208,12.461,46.716,0.267
0.0593,229.9,0.183,10.274,42.098,0.244
0.0603,222.1,0.186,12.953,41.317,0.313
0.0537,234.3,0.166,7.649,38.846,0.197
0.0538,224.1,0.166,8.491,37.204,0.228
0.0503,229.9,0.155,7.229,35.722,0.202
0.0523,225.7,0.161,8.9,36.405,0.244
0.0565,225.1,0.174,9.046,39.26,0.23
