Vrms_current,Vrms,Irms,P,S,PF
0.0487,216.3,0.15,5.222,32.54,0.16
0.0449,221,0.138,3.841,30.596,0.126
0.0469,215.4,0.145,6.409,31.164,0.206
0.0451,222,0.139,3.45,30.898,0.112
0.0484,216.8,0.149,5.389,32.392,0.166
0.0456,218.3,0.141,4.966,30.731,0.162
0.0455,223,0.14,2.946,31.324,0.094
0.0483,214.2,0.149,5.96,31.895,0.187
0.0509,214.8,0.157,5.132,33.75,0.152
0.0457,220.6,0.141,2.677,31.128,0.086
0.0463,211.9,0.143,7.123,30.292,0.235
0.047,221.3,0.145,3.695,32.075,0.115
0.0479,213,0.148,5.832,31.48,0.185
0.0488,226,0.151,0.844,34.071,0.025
0.0518,219.8,0.16,3.689,35.171,0.105
0.0485,217.2,0.15,5.889,32.516,0.181
0.0461,220.7,0.142,3.556,31.383,0.113
0.0483,214.7,0.149,6.557,31.986,0.205
0.047,221.5,0.145,5.86,32.124,0.182
0.049,220.6,0.151,3.365,33.37,0.101
0.0455,223.3,0.141,2.5,31.393,0.08
0.0474,215.8,0.146,6.358,31.591,0.201
0.0477,216.2,0.147,5.97,31.796,0.188
0.0458,219.1,0.141,5.766,31.002,0.186
0.0444,223.6,0.137,3.974,30.607,0.13
0.0474,223,0.146,3.754,32.664,0.115
0.0471,215.2,0.145,6.239,31.268,0.2
0.0449,223.3,0.139,3.654,30.936,0.118
0.0482,217.7,0.149,5.466,32.386,0.169
0.0478,214.3,0.147,7.66,31.597,0.242
0.0431,223.3,0.133,2.837,29.739,0.095
0.0481,217.7,0.149,5.475,32.337,0.169
0.0455,223.4,0.141,3.854,31.398,0.123
0.0501,217.5,0.155,5.593,33.652,0.166
0.0476,221.6,0.147,4.073,32.587,0.125
0.0473,219.2,0.146,6.319,31.983,0.198
0.0467,220.5,0.144,5.381,31.809,0.169
0.0494,219.5,0.152,4.624,33.448,0.138
0.0489,214,0.151,6.646,32.31,0.206
0.0457,223.5,0.141,3.75,31.491,0.119
0.0502,217.2,0.155,5.245,33.625,0.156
0.0457,221.3,0.141,5.159,31.189,0.165
0.0481,218.6,0.148,5.426,32.429,0.167
0.0446,222.4,0.138,4.919,30.628,0.161
0.0461,221.4,0.142,4.697,31.541,0.149
0.0501,220.5,0.155,4.09,34.097,0.12
0.0435,222.2,0.134,5.421,29.842,0.182
0.046,224.2,0.142,3.899,31.864,0.122
0.0488,219.6,0.151,5.923,33.102,0.179
0.0476,214.2,0.147,7.374,31.465,0.234
0.045,224.3,0.139,4.318,31.175,0.139
0.0468,217,0.145,5.849,31.383,0.186
0.0467,224.1,0.144,4.882,32.282,0.151
0.0451,217.3,0.139,5.352,30.217,0.177
0.0451,223,0.139,4.412,31.031,0.142
0.0487,216,0.15,5.685,32.487,0.175
0.0473,215.4,0.146,7.709,31.434,0.245
0.0451,223.4,0.139,4.589,31.092,0.148
0.0486,226.4,0.15,1.113,33.919,0.033
0.0474,218,0.146,6.322,31.905,0.198
0.0463,224.5,0.143,3.727,32.11,0.116
0.0479,219.3,0.148,5.741,32.453,0.177
0.0478,215.7,0.147,6.451,31.809,0.203
0.0454,226.4,0.14,3.792,31.711,0.12
0.0481,214.8,0.148,6.141,31.894,0.193
0.0449,222.7,0.139,4.561,30.877,0.148
0.0485,218.7,0.15,5.608,32.717,0.171
0.047,219.6,0.145,5.752,31.831,0.181
0.0471,223.7,0.145,3.633,32.512,0.112
0.0468,214.6,0.145,7.195,31.019,0.232
0.0452,223.3,0.14,3.032,31.159,0.097
0.0489,223.6,0.151,2.719,33.775,0.081
0.0463,224.2,0.143,3.821,32.057,0.119
0.047,218.6,0.145,5.52,31.705,0.174
0.0448,224.7,0.138,4.422,31.092,0.142
0.0473,222.6,0.146,4.087,32.48,0.126
0.0455,222.5,0.14,4.632,31.231,0.148
0.0461,223.1,0.142,3.971,31.705,0.125
0.0472,219.7,0.146,5.302,32.002,0.166
0.0475,221.2,0.147,5.473,32.449,0.169
0.0454,223.4,0.14,5.288,31.292,0.169
0.0489,222.3,0.151,4.868,33.544,0.145
0.0468,219.7,0.145,5.996,31.763,0.189
0.0449,225.6,0.139,3.759,31.283,0.12
0.0487,219.4,0.15,5.926,32.959,0.18
0.044,228.4,0.136,3.934,30.999,0.127
0.05,217,0.154,6.581,33.471,0.197
0.048,218.6,0.148,5.501,32.408,0.17
0.0454,219.5,0.14,6.191,30.78,0.201
0.0441,223.4,0.136,4.804,30.427,0.158
0.0481,224.5,0.148,5.283,33.31,0.159
0.0481,218.6,0.149,5.724,32.472,0.176
0.0452,227.2,0.139,4.822,31.681,0.152
0.0469,219.1,0.145,5.909,31.754,0.186
0.0477,220.8,0.147,5.803,32.477,0.179
0.0468,215.8,0.145,6.761,31.188,0.217
0.0465,217.6,0.143,6.464,31.194,0.207
0.0462,224.6,0.143,4.252,32.01,0.133
0.0481,223.4,0.148,4.834,33.174,0.146
